"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Charlie_2009-11-18_1004a_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 22:22:42 PKT"	"2009-12-04 22:21:31 PKT"	"2009-12-04 22:21:31 PKT"	"2933"	"64"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1004a_Received.txt-slack"
"Charlie_2009-11-18_1004b_Received.txt"	".txt"	"r"	""	"2009-12-04 22:22:21 PKT"	"2009-12-04 22:22:15 PKT"	"2009-12-04 22:22:15 PKT"	"1203"	"65"	"91deb18da0a0e0a7dcf4b06abf904ea5"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1004b_Received.txt"
"Charlie_2009-11-18_1004b_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 22:22:21 PKT"	"2009-12-04 22:22:15 PKT"	"2009-12-04 22:22:15 PKT"	"2893"	"65"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1004b_Received.txt-slack"
"Charlie_2009-11-18_1158_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:45:43 PKT"	"2009-12-05 02:45:43 PKT"	"2009-12-05 02:45:43 PKT"	"598"	"108"	"2183df2036ad23070965c0a263499261"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1158_Sent.txt"
"Charlie_2009-11-18_1158_Sent.txt-slack"	".txt-slack"	"r"	""	"2009-12-05 02:45:43 PKT"	"2009-12-05 02:45:43 PKT"	"2009-12-05 02:45:43 PKT"	"3498"	"108"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1158_Sent.txt-slack"
"Charlie_2009-11-18_1253_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:45:58 PKT"	"2009-12-05 02:45:58 PKT"	"2009-12-05 02:45:58 PKT"	"347"	"109"	"6c369b3ac60555380f91009f854cb06c"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1253_Sent.txt"
"Charlie_2009-11-18_1259_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:46:13 PKT"	"2009-12-05 02:46:09 PKT"	"2009-12-05 02:46:09 PKT"	"266"	"110"	"299a23b4e039c689c742ae7800acff0c"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1259_Sent.txt"
"Charlie_2009-11-19_0932_Received.txt"	".txt"	"r"	""	"2009-12-05 02:42:00 PKT"	"2009-12-04 22:22:34 PKT"	"2009-12-04 22:22:34 PKT"	"293"	"66"	"c03f52420998b9fffa8567f5b0037b02"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_0932_Received.txt"
"Charlie_2009-11-19_0942_Received.txt"	".txt"	"r"	""	"2009-12-05 02:38:13 PKT"	"2009-12-04 22:22:52 PKT"	"2009-12-04 22:22:52 PKT"	"677"	"67"	"03b60cbc63f181b440de50307a3429ae"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_0942_Received.txt"
"Charlie_2009-11-19_0942_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-05 02:38:13 PKT"	"2009-12-04 22:22:52 PKT"	"2009-12-04 22:22:52 PKT"	"3419"	"67"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_0942_Received.txt-slack"
"Charlie_2009-11-19_0957_Received.txt"	".txt"	"r"	""	"2009-12-05 02:38:22 PKT"	"2009-12-04 22:23:07 PKT"	"2009-12-04 22:23:07 PKT"	"271"	"68"	"d731f26a136747ebdd8b04c9c623447c"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_0957_Received.txt"
"Charlie_2009-11-19_1037_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:46:23 PKT"	"2009-12-05 02:46:23 PKT"	"2009-12-05 02:46:23 PKT"	"443"	"111"	"ea854bef14e83693f2b75dbbd90d4753"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_1037_Sent.txt"
"Charlie_2009-11-19_1038_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:46:37 PKT"	"2009-12-05 02:46:37 PKT"	"2009-12-05 02:46:37 PKT"	"312"	"112"	"286154eddc979e43991d8d1d3dfe3c11"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-19_1038_Sent.txt"
"Charlie_2009-11-20_0848_Received.txt"	".txt"	"r"	""	"2009-12-04 22:23:38 PKT"	"2009-12-04 22:23:38 PKT"	"2009-12-04 22:23:38 PKT"	"670"	"70"	"2abe036d0fcde9b9c05bc25d87daec72"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0848_Received.txt"
"Charlie_2009-11-20_0848_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 22:23:38 PKT"	"2009-12-04 22:23:38 PKT"	"2009-12-04 22:23:38 PKT"	"3426"	"70"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0848_Received.txt-slack"
"Charlie_2009-11-20_0957_Received.txt"	".txt"	"r"	""	"2009-12-05 02:40:08 PKT"	"2009-12-04 22:23:48 PKT"	"2009-12-04 22:23:48 PKT"	"276"	"71"	"b62daaba6d0a011f33d57b2515f5fa22"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received.txt"
"Charlie_2009-11-20_0957_Received_95253.SCSI.Mathew+Malizia.pdf"	".pdf"	"r"	""	"2009-12-05 02:40:21 PKT"	"2009-12-05 02:40:21 PKT"	"2009-12-05 02:40:21 PKT"	"73926"	"97"	"22f728e4c307c604f806dfc70bf12931"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_95253.SCSI.Mathew+Malizia.pdf"
"Charlie_2009-11-20_0957_Received_95253.SCSI.Mathew+Malizia.pdf-slack"	".pdf-slack"	"r"	""	"2009-12-05 02:40:21 PKT"	"2009-12-05 02:40:21 PKT"	"2009-12-05 02:40:21 PKT"	"3898"	"97"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_95253.SCSI.Mathew+Malizia.pdf-slack"
"Charlie_2009-11-20_0957_Received_97315.ScatterGatherIO.Julio+Molock.pdf"	".pdf"	"r"	""	"2009-12-11 03:27:25 PKT"	"2009-12-05 02:40:28 PKT"	"2009-12-05 02:40:28 PKT"	"64343"	"98"	"4c8cb6c9d8f0670d2c5127f30bfff6c9"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_97315.ScatterGatherIO.Julio+Molock.pdf"
"Charlie_2009-11-20_0957_Received_97315.ScatterGatherIO.Julio+Molock.pdf-slack"	".pdf-slack"	"r"	""	"2009-12-11 03:27:25 PKT"	"2009-12-05 02:40:28 PKT"	"2009-12-05 02:40:28 PKT"	"1193"	"98"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_97315.ScatterGatherIO.Julio+Molock.pdf-slack"
"Charlie_2009-11-20_0957_Received_98521.WANs.Greg+Hillier.pdf"	".pdf"	"r"	""	"2009-12-05 02:40:35 PKT"	"2009-12-05 02:40:35 PKT"	"2009-12-05 02:40:35 PKT"	"99483"	"99"	"3daefc16b545c020b809939684b87a9f"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_98521.WANs.Greg+Hillier.pdf"
"Charlie_2009-11-20_0957_Received_98521.WANs.Greg+Hillier.pdf-slack"	".pdf-slack"	"r"	""	"2009-12-05 02:40:35 PKT"	"2009-12-05 02:40:35 PKT"	"2009-12-05 02:40:35 PKT"	"2917"	"99"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_98521.WANs.Greg+Hillier.pdf-slack"
"Charlie_2009-11-20_0957_Received_99202.ComplexityTheory.Louisa+Fleet.pdf"	".pdf"	"r"	""	"2009-12-05 02:41:55 PKT"	"2009-12-05 02:39:45 PKT"	"2009-12-05 02:39:46 PKT"	"95965"	"96"	"409344fa2d71fdd651ccb4eaa0f2ce2d"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_99202.ComplexityTheory.Louisa+Fleet.pdf"
"Charlie_2009-11-20_0957_Received_99202.ComplexityTheory.Louisa+Fleet.pdf-slack"	".pdf-slack"	"r"	""	"2009-12-05 02:41:55 PKT"	"2009-12-05 02:39:45 PKT"	"2009-12-05 02:39:46 PKT"	"2339"	"96"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-20_0957_Received_99202.ComplexityTheory.Louisa+Fleet.pdf-slack"
